Total population,year,population
Abkhazia,1800,
Afghanistan,1800,3280000.0
Akrotiri and Dhekelia,1800,
Albania,1800,410445.0
Algeria,1800,2503218.0
American Samoa,1800,8170.0
Andorra,1800,2654.0
Angola,1800,1567028.0
Anguilla,1800,2025.0
Antigua and Barbuda,1800,37000.0
Argentina,1800,534000.0
Armenia,1800,413326.0
Aruba,1800,19286.0
Australia,1800,351014.0
Austria,1800,3205587.0
Azerbaijan,1800,879960.0
Bahamas,1800,27350.0
Bahrain,1800,64474.0
Bangladesh,1800,19227358.0
Barbados,1800,81729.0
Belarus,1800,2355081.0
Belgium,1800,3138137.0
Belize,1800,25526.0
Benin,1800,636559.0
Bermuda,1800,9692.0
Bhutan,1800,89989.0
Bolivia,1800,1100000.0
Bosnia and Herzegovina,1800,851806.0
Botswana,1800,121000.0
Brazil,1800,3639636.0
British Virgin Islands,1800,6700.0
Brunei,1800,2128.0
Bulgaria,1800,1992320.0
Burkina Faso,1800,1665421.0
Burundi,1800,899097.0
Cambodia,1800,2090000.0
Cameroon,1800,1860054.0
Canada,1800,645526.0
Cape Verde,1800,55716.0
Cayman Islands,1800,2439.0
Central African Republic,1800,479444.0
Chad,1800,1432000.0
Channel Islands,1800,43908.0
Chile,1800,771447.0
China,1800,321675013.0
Christmas Island,1800,
Cocos Island,1800,
Colombia,1800,1206000.0
Comoros,1800,56346.0
"Congo, Dem. Rep.",1800,5163819.0
"Congo, Rep.",1800,314465.0
Cook Is,1800,16136.0
Costa Rica,1800,51987.0
Cote d'Ivoire,1800,1088530.0
Croatia,1800,1227886.0
Cuba,1800,345043.0
Cyprus,1800,184392.0
Czech Republic,1800,5516349.0
Czechoslovakia,1800,
Denmark,1800,1062514.0
Djibouti,1800,22848.0
Dominica,1800,19950.0
Dominican Republic,1800,89000.0
East Germany,1800,
Ecuador,1800,500000.0
Egypt,1800,4243515.0
El Salvador,1800,248000.0
Equatorial Guinea,1800,80377.0
Eritrea,1800,205010.0
Eritrea and Ethiopia,1800,
Estonia,1800,334136.0
Ethiopia,1800,2948990.0
Faeroe Islands,1800,13537.0
Falkland Is (Malvinas),1800,100.0
Fiji,1800,130533.0
Finland,1800,977662.0
France,1800,29355111.0
French Guiana,1800,9899.0
French Polynesia,1800,62530.0
Gabon,1800,158227.0
Gambia,1800,103274.0
Georgia,1800,1072178.0
Germany,1800,22886919.0
Ghana,1800,2016034.0
Gibraltar,1800,9873.0
Greece,1800,2151155.0
Greenland,1800,9584.0
Grenada,1800,29409.0
Guadeloupe,1800,80726.0
Guam,1800,6053.0
Guatemala,1800,458965.0
Guernsey,1800,
Guinea,1800,983959.0
Guinea-Bissau,1800,218167.0
Guyana,1800,166034.0
Haiti,1800,723000.0
Holy See,1800,905.0
Honduras,1800,126118.0
"Hong Kong, China",1800,20000.0
Hungary,1800,3499771.0
Iceland,1800,61428.0
India,1800,168574895.0
Indonesia,1800,16108545.0
Iran,1800,6269721.0
Iraq,1800,1076920.0
Ireland,1800,4064749.0
Isle of Man,1800,23533.0
Israel,1800,209954.0
Italy,1800,18822234.0
Jamaica,1800,401000.0
Japan,1800,30294378.0
Jersey,1800,
Jordan,1800,217000.0
Kazakhstan,1800,2041282.0
Kenya,1800,2574000.0
Kiribati,1800,17876.0
North Korea,1800,4345000.0
South Korea,1800,9395000.0
United Korea (former),1800,
Kosovo,1800,
Kuwait,1800,81280.0
Kyrgyz Republic,1800,530343.0
Lao,1800,470000.0
Latvia,1800,590588.0
Lebanon,1800,332000.0
Lesotho,1800,276361.0
Liberia,1800,313543.0
Libya,1800,531472.0
Liechtenstein,1800,5802.0
Lithuania,1800,778655.0
Luxembourg,1800,127030.0
"Macao, China",1800,17311.0
"Macedonia, FYR",1800,391865.0
Madagascar,1800,1543133.0
Malawi,1800,737000.0
Malaysia,1800,287000.0
Maldives,1800,42378.0
Mali,1800,1403398.0
Malta,1800,134072.0
Marshall Islands,1800,5828.0
Martinique,1800,84039.0
Mauritania,1800,382696.0
Mauritius,1800,62865.0
Mayotte,1800,8219.0
Mexico,1800,6181708.0
"Micronesia, Fed. Sts.",1800,16416.0
Moldova,1800,712558.0
Monaco,1800,7789.0
Mongolia,1800,619000.0
Montenegro,1800,126582.0
Montserrat,1800,5230.0
Morocco,1800,2503218.0
Mozambique,1800,1982324.0
Myanmar,1800,3506000.0
Namibia,1800,229000.0
Nauru,1800,1834.0
Nepal,1800,3881000.0
Netherlands,1800,2254522.0
Netherlands Antilles,1800,
New Caledonia,1800,29432.0
New Zealand,1800,100000.0
Ngorno-Karabakh,1800,
Nicaragua,1800,219387.0
Niger,1800,1244861.0
Nigeria,1800,12100855.0
Niue,1800,4538.0
Norfolk Island,1800,
Northern Cyprus,1800,
Northern Mariana Islands,1800,3360.0
Norway,1800,868570.0
Oman,1800,318000.0
Pakistan,1800,13123633.0
Palau,1800,3875.0
Panama,1800,78842.0
Papua New Guinea,1800,754894.0
Paraguay,1800,143000.0
Peru,1800,1314151.0
Philippines,1800,1894389.0
Pitcairn,1800,
Poland,1800,9508747.0
Portugal,1800,3033454.0
Puerto Rico,1800,155000.0
Qatar,1800,14092.0
Reunion,1800,92744.0
Romania,1800,5464085.0
Russia,1800,31088398.0
Rwanda,1800,928368.0
St. Barthélemy,1800,
St. Helena,1800,1997.0
St. Kitts and Nevis,1800,17202.0
St. Lucia,1800,24000.0
St. Martin,1800,
